Variable,Description
ACTIVATION_DT,Day in the month on which activation is done
AVG_MBL_F10,Average main balance in first 10 days from activation
AVG_MBL_F4,Average main balance in first 4 days from activation
AVG_MBL_F7,Average main balance in first 7 days from activation
AVG_NIG_USG_F10,Average night usage in first 10 days from activation
AVG_NIG_USG_F4,Average night usage in first 4 days from activation
AVG_NIG_USG_F7,Average night usage in first 7 days from activation
AVG_STD_USG_F10,Average STD usage in first 10 days from activation
AVG_STD_USG_F4,Average STD usage in first 4 days from activation
AVG_STD_USG_F7,Average STD usage in first 7 days from activation
CHG_IC_MOU_L5_F5,Percentage change in incoming minute of usage from first 5 days to 5-10th day
CNT_DEC_INS_F10,Count of days where balance is deducted in first 10 days
CNT_DEC_INS_F4,Count of days where balance is deducted in first 4 days
CNT_DEC_INS_F7,Count of days where balance is deducted in first 7 days
CNT_RCHG_F10,Count of recharge in first 10 days
CNT_RCHG_F4,Count of recharge in first 4 days
CNT_RCHG_F7,Count of recharge in first 7 days
CNT_ROAM_INS_F10,Count of days customer is in roaming zone in first 10  days
CNT_ROAM_INS_F4,Count of days customer is in roaming zone in first 4 days
CNT_ROAM_INS_F7,Count of days customer is in roaming zone in first 7  days
CNT_SMS_INS_F10,Count of SMS instance in first 10 days
CNT_SMS_INS_F4,Count of SMS instance in first 4 days
CNT_SMS_INS_F7,Count of SMS instance in first 7 days
CNT_STD_IC_INS_F10,Count of incoming STD instance in first 10 days
CNT_STD_IC_INS_F4,Count of incoming STD instance in first 4 days
CNT_STD_IC_INS_F7,Count of incoming STD instance in first 7 days
CNT_STD_INS_F10,Count of STD instance in first 10 days
CNT_STD_INS_F4,Count of STD instance in first 4 days
CNT_STD_INS_F7,Count of STD instance in first 7 days
CNT_STD_OG_INS_F10,Count of outgoing STD instance in first 10 days
CNT_STD_OG_INS_F4,Count of outgoing STD instance in first 4 days
CNT_STD_OG_INS_F7,Count of outgoing STD instance in first 7 days
CNT_VLR_INS_F10,Count of days customer is latching on network in first 10 days
CNT_VLR_INS_F4,Count of days customer is latching on network in first 4 days
CNT_VLR_INS_F7,Count of days customer is latching on network in first 7 days
DAY_END_MBL_F10,End of day balance on 10th day
DAY_END_MBL_F4,End of balance on 4th day
DAY_END_MBL_F7,End of balance on 7th day
DND,Promotional call received inspite of DND
DND_INFO,Do not disturb flag
DS_IC_CALLS_F10,Day since incoming call come in first 10 days
DS_IC_CALLS_F4,Day since incoming call come in first 4 days
DS_IC_CALLS_F7,Day since incoming call come in first 7 days
DS_IC_MOU_F10,Day since incoming minute of usage come in first 10 days
DS_IC_MOU_F4,Day since incoming minute of usage come in first 4 days
DS_IC_MOU_F7,Day since incoming minute of usage come in first 7 days
DS_OG_CALLS_F10,Day since outgoing call done in first 10 days
